"date_value","bail_category","Aggravated Assault","Altered Firearm Serial Number","Arson","Attempted Murder","Auto Theft","Burglary/Commercial","Burglary/Residential","Carjacking","Criminal Mischief","Disorderly Conduct","Drug Possession","Drug Possession in Jails","Drug Sales","Drug Sales with a Firearm","DUI","Ethnic Intimidation","Firearm Possession by a Prohibited Person","Firearm Possession without a License","Fraud","Homicide: Other","Homicide: Shooting","Illegal Dumping/Littering","Non-Fatal Shooting","Other Assaults","Other Firearm Offenses","Other Property Crimes","Other Violent Crimes","Patronizing Prostitutes/Sex Workers","Promoting Prostitution","Prostitution/Sex Work","Rape","Retail Theft","Robbery","Robbery with a Deadly Weapon","Sexual Assault and Other Sex Offenses","Simple Assault","Strangulation","Theft","Theft from Auto","Threats of Violence","Trespass","Uncategorized Offenses","Victim/Witness Intimidation & Retaliation","Violation of Protection Order"
2014-01-01,"Total",18,0,0,2,4,1,3,0,0,0,8,0,0,0,21,0,3,5,0,0,0,0,0,1,0,0,2,0,0,0,1,3,2,0,1,8,0,4,0,1,0,4,0,2
2014-01-01,"No bail (ROR)",0,0,0,0,1,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0
2014-01-01,"Unsecured (SOB)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,"$1-$10k",13,0,0,0,2,1,3,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,5,0,2,0,1,0,1,0,2
2014-01-01,"$10k-$25k",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2014-01-01,"$25k-$100k",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2014-01-01,"$100k+",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,"Held Without Bail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,"Unknown bail",0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-01-02,"Total",38,1,0,4,3,0,3,1,0,0,6,0,5,1,7,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,1,6,1,6,0,6,0,2,0,6,1,4
2014-01-02,"No bail (ROR)",0,0,0,0,2,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0
2014-01-02,"Unsecured (SOB)",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
